City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
658,Thinadhoo,MV,81.39,overcast clouds,0.5333,72.9333,
661,Quebrada Seca,HN,75.31,clear sky,15.6667,-87.95,Residencial ''Los castaños''
662,Madras,IN,80.96,mist,13.0878,80.2785,City home
665,Port Shepstone,ZA,76.73,scattered clouds,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
668,Kampot,KH,84.25,scattered clouds,10.6167,104.1833,Two Moons Hotel
672,Sinnamary,GF,75.22,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
673,Qui Nhon,VN,78.35,broken clouds,13.7667,109.2333,Hoang Yen Canary Hotel
687,San Pedro,PH,88.83,scattered clouds,14.35,121.0167,Villa Veronica Resort Private Pool
690,Kirakira,SB,79.7,overcast clouds,-10.4544,161.9205,SanBiz Lodge
695,Maunabo,PR,75.04,clear sky,18.0072,-65.8993,Maunacaribe
704,Robertsport,LR,79.2,light rain,6.7533,-11.3686,Kwepunha Retreat
705,Puerto Carreno,CO,75.9,broken clouds,6.189,-67.4859,Casa Hotel Victoria
706,Boyolangu,ID,83.53,overcast clouds,-8.1181,111.8935,Yos ega cv
713,Camalobalo,PH,87.67,overcast clouds,10.2731,122.9505,ERECILLA HOUSE
