City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
148,Pisco,PE,-13.7,-76.2167,66.25,82,0,6.91,clear sky
149,Ayorou,NE,14.7308,0.9174,63.0,22,0,9.95,clear sky
150,Tarancon,ES,40.0085,-3.0073,37.49,39,0,5.55,clear sky
151,Ystad,SE,55.4297,13.8204,39.94,70,93,20.54,overcast clouds
152,Ondangwa,NA,-17.9167,15.95,76.68,47,90,7.27,overcast clouds
153,Mount Gambier,AU,-37.8333,140.7667,77.25,49,0,10.36,clear sky
154,Taltal,CL,-25.4,-70.4833,66.18,79,2,1.66,clear sky
155,Pathalgaon,IN,22.5667,83.4667,57.76,44,0,4.99,clear sky
156,Pimentel,PE,-6.8367,-79.9342,70.18,85,99,10.27,overcast clouds
157,Ponta Do Sol,PT,32.6667,-17.1,57.7,77,70,3.13,broken clouds
158,Fukuma,JP,33.7667,130.4667,56.28,44,21,8.68,few clouds
159,Constitucion,CL,-35.3333,-72.4167,59.07,91,44,4.03,scattered clouds
160,Batagay-Alyta,RU,67.8006,130.4114,-20.61,93,46,2.8,scattered clouds
161,Along,IN,28.1667,94.7667,58.46,70,35,0.74,scattered clouds
162,Saint George,US,37.1041,-113.5841,45.07,31,0,1.99,clear sky
163,Ilulissat,GL,69.2167,-51.1,5.02,61,100,14.97,light snow
164,Mujiayingzi,CN,42.1167,118.7833,20.52,29,0,10.71,clear sky
165,Yerbogachen,RU,61.2767,108.0108,-11.78,99,89,4.85,overcast clouds
166,Chiltepec,MX,18.4847,-96.9019,65.34,96,97,0.74,overcast clouds
167,Pangnirtung,CA,66.1451,-65.7125,-13.14,83,100,5.01,overcast clouds
168,Ranchi,IN,23.35,85.3333,53.71,58,0,5.75,haze
169,Takapau,NZ,-40.0333,176.35,73.18,37,33,9.6,scattered clouds
170,Biltine,TD,14.5333,20.9167,57.58,20,35,14.25,scattered clouds
171,Hami,CN,42.8,93.45,26.69,38,3,3.6,clear sky
172,Otradnoye,RU,59.7775,30.8181,31.03,96,100,7.07,snow
173,Cayenne,GF,4.9333,-52.3333,69.84,94,100,2.3,mist
174,Loandjili,CG,-4.7561,11.8578,76.28,90,90,2.17,overcast clouds
175,Tabuk,PH,17.4189,121.4443,82.27,71,99,5.32,overcast clouds
176,Mason City,US,43.1536,-93.201,10.38,85,0,17.27,clear sky
